Agro-ecological zones,Administrative areas,Agricultural practices,Additional Information,Planting period - onset,Planting period - end,Sowing / Planting rate,Sowing/Planting rate unit,Length of the cropping cycle,cropping cycle(months),Harvesting period - onset,Harvesting period - end,Min Temp,Max Temp,Min_Rain,Max_Rain,Min_Rain_Growing,Max_Rain_Growing
Lower Highland Zone 1 (LH1),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Embu, Meru), Central province (Except Kirinyaga), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet)",Tea and dairy farming zones. Forest reserves.,First season,28/02,31/03,40-100,kg/ha,90-150 days,5.0,01/06,31/08,20.0,30.0,750.0,4000.0,300.0,500.0
Lower Highland Zone 1 (LH1),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Embu, Meru) Central province (Except Kirinyaga), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet)",Tea and dairy farming zones. Forest reserves.,Second season,01/08,15/08,40-100,kg/ha,90-150 days,5.0,01/11,15/01,20.0,30.0,750.0,4000.0,300.0,500.0
Lower Highland Zone 2 (LH2),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Meru), Central province (Kiambu, Nyeri), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet, Baringo,Nakuru, Narok)","Wheat, maize and pyrethrum farming.",First season,01/03,31/03,40-100,kg/ha,90-150 days,5.0,01/07,31/08,20.0,30.0,750.0,4000.0,300.0,500.0
Lower Highland Zone 2 (LH2),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Meru), Central province (Kiambu, Nyeri), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet, Baringo,Nakuru, Narok)","Wheat, maize and pyrethrum farming.",Second season,01/08,15/10,40-100,kg/ha,90-150 days,5.0,01/11,15/03,20.0,30.0,750.0,4000.0,300.0,500.0
Lower Highland Zone 3 (LH3),"Eastern province (Meru), Central province (Kiambu, Nyeri, Nyandarua), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Markwet, Baringo, Laikipia, Samburu, Nakuru, Narok, Kajiado)","Wheat, maize and barley farming.",First season,15/03,31/03,40-100,kg/ha,90-150 days,5.0,15/07,31/08,20.0,30.0,750.0,4000.0,300.0,500.0
Lower Highland Zone 3 (LH3),"Eastern province (Meru), Central province (Kiambu, Nyeri, Nyandarua), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Markwet, Baringo, Laikipia, Samburu, Nakuru, Narok, Kajiado)","Wheat, maize and barley farming.",Second season,01/10,15/10,40-100,kg/ha,90-150 days,5.0,15/01,15/03,20.0,30.0,750.0,4000.0,300.0,500.0
Lower Highland Zone 4 (LH4),"Eastern province (Meru), Central province (Nyeri, Nyandarua), Rift valley province (T/Nzoia, Uasin Gishu, W/pokot, Samburu, Nakuru, Narok)","Barley farming, cattle and sheep farming.",,01/04,31/03,40-100,kg/ha,90-150 days,5.0,01/08,30/09,20.0,30.0,750.0,4000.0,300.0,500.0
Lower midland zone 1 (LM1),"South Nyanza (Siaya), Western province (Kakamega, Busia, Bungoma).","Sugarcane farming good, maize farming fair.",First season,15/03,31/03,40-100,kg/ha,70-90 days,3.0,01/06,30/06,20.0,30.0,750.0,4000.0,300.0,500.0
Lower midland zone 1 (LM1),"South Nyanza (Siaya), Western province (Kakamega, Busia, Bungoma).","Sugarcane farming good, maize farming fair.",Second season,15/08,31/08,40-100,kg/ha,70-90 days,3.0,01/11,01/12,20.0,30.0,750.0,4000.0,300.0,500.0
Lower midland zone 2 (LM2),"Nyanza province (Siaya, Kisumu), Western province (Kakamega, Busia, Bungoma), Nandi, Narok.","Sugarcane farming marginal, maize farming.",First season,15/08,31/08,40-100,kg/ha,70-90 days,3.0,01/11,01/12,20.0,30.0,750.0,4000.0,300.0,500.0
Lower midland zone 2 (LM2),"Nyanza province (Siaya, Kisumu), Western province (Kakamega, Busia, Bungoma), Nandi, Narok.","Sugarcane farming marginal, maize farming.",Second season,01/08,31/08,40-100,kg/ha,70-90 days,3.0,15/10,01/12,20.0,30.0,750.0,4000.0,300.0,500.0
Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,First season,01/03,31/03,40-100,kg/ha,70-90 days,3.0,01/06,30/06,20.0,30.0,750.0,4000.0,300.0,500.0
Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,Second season,01/09,15/10,40-100,kg/ha,70-90 days,3.0,15/11,31/01,20.0,30.0,750.0,4000.0,300.0,500.0
Lower midland zone 4 (LM4),"Nyanza province (Siaya, Kisumu), Western province (Busia), Eastern province (Embu, Meru, Machakos, KItui), Central province (Kiambu, Muranga, Kirinyaga), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Kajiado), Taita Taveta","Maize, pigeon pea and sisal farming. Marginal cotton farming.",First season,01/03,15/03,40-100,kg/ha,70-90 days,3.0,01/06,30/06,20.0,30.0,750.0,4000.0,300.0,500.0
Lower midland zone 4 (LM4),"Nyanza province (Siaya, Kisumu), Western province (Busia), Eastern province (Embu, Meru, Machakos, KItui), Central province (Kiambu, Muranga, Kirinyaga), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Kajiado), Taita Taveta","Maize, pigeon pea and sisal farming. Marginal cotton farming.",Second season,01/10,31/10,40-100,kg/ha,70-90 days,3.0,01/01,31/01,20.0,30.0,750.0,4000.0,300.0,500.0
Upper midland zone 1(UM1),"Nyanza province (Kisii, Kisumu), Western province (Kakamega, Mt Elgon), Eastern province (Embu, Meru) Central province (Kiambu, Nyeri, Muranga, Nyandarua), Rift valley province (Nandi, Kericho)","Tea, coffee and maize farming.",,01/03,31/03,40-100,kg/ha,75-120 days,4.0,01/06,31/07,20.0,30.0,750.0,4000.0,300.0,500.0
Upper midland zone 2 (UM2),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia)",Coffee and maize farming.,First season,01/03,31/03,40-100,kg/ha,75-120 days,4.0,01/06,31/07,20.0,30.0,750.0,4000.0,300.0,500.0
Upper midland zone 2 (UM2),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia)",Coffee and maize farming.,Second season,15/08,15/10,40-100,kg/ha,75-120 days,4.0,01/11,28/02,20.0,30.0,750.0,4000.0,300.0,500.0
Upper midland zone 3 (UM3),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia,W/pokot,Baringo,Nakuru, Kajiado), Taita Taveta","Maize farming, rainfed and irrigated coffee farming.",First season,01/03,15/03,40-100,kg/ha,75-120 days,4.0,01/06,15/08,20.0,30.0,750.0,4000.0,300.0,500.0
Upper midland zone 3 (UM3),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia,W/pokot,Baringo,Nakuru, Kajiado), Taita Taveta","Maize farming, rainfed and irrigated coffee farming.",Second season,01/10,15/10,40-100,kg/ha,75-120 days,4.0,01/01,28/02,20.0,30.0,750.0,4000.0,300.0,500.0
Upper midland zone 4 (UM4),"Western province (Kakamega, Bungoma), Eastern province (Embu, Meru, Machakos, Kitui), Central province (Kiambu, Nyeri, Muranga, Kirinyaga), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Marakwet, Baringo, Nakuru, Narok, Kajiad","Maize and sunflower farming good under unimodal rainfall, but fair under bimodal. Sisal farming in upper zone under large scale.",First season,01/03,15/03,40-100,kg/ha,75-120 days,4.0,01/06,15/08,20.0,30.0,750.0,4000.0,300.0,500.0
Upper midland zone 4 (UM4),"Western province (Kakamega, Bungoma), Eastern province (Embu, Meru, Machakos, Kitui), Central province (Kiambu, Nyeri, Muranga, Kirinyaga), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Marakwet, Baringo, Nakuru, Narok, Kajiad","Maize and sunflower farming good under unimodal rainfall, but fair under bimodal. Sisal farming in upper zone under large scale.",Second season,15/10,31/10,40-100,kg/ha,75-120 days,4.0,15/01,28/02,20.0,30.0,750.0,4000.0,300.0,500.0
Lower midland zone 1 (LM1),"South Nyanza (Siaya), Western province (Kakamega, Busia, Bungoma).","Sugarcane farming good, maize farming fair.",First season,15/03,31/03,0.3,kg/ha,60-75 days,2.5,01/05,15/06,16.0,20.0,400.0,500.0,350.0,500.0
Lower midland zone 1 (LM1),"South Nyanza (Siaya), Western province (Kakamega, Busia, Bungoma).","Sugarcane farming good, maize farming fair.",Second season,25/08,05/09,0.3,kg/ha,60-75 days,2.5,01/11,30/11,16.0,20.0,400.0,500.0,350.0,500.0
Lower midland zone 2 (LM2),"Nyanza province (Siaya, Kisumu), Western province (Kakamega, Busia, Bungoma), Nandi, Narok.","Sugarcane farming marginal, maize farming.",First season,15/02,28/02,0.3,kg/ha,60-75 days,2.5,15/04,31/05,16.0,20.0,400.0,500.0,350.0,500.0
Lower midland zone 2 (LM2),"Nyanza province (Siaya, Kisumu), Western province (Kakamega, Busia, Bungoma), Nandi, Narok.","Sugarcane farming marginal, maize farming.",Second season,01/08,31/08,0.3,kg/ha,60-75 days,2.5,01/10,01/12,16.0,20.0,400.0,500.0,350.0,500.0
Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,First season,15/03,31/03,0.3,kg/ha,60-75 days,2.5,01/05,15/06,16.0,20.0,400.0,500.0,350.0,500.0
Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,Second season,25/08,05/09,0.3,kg/ha,60-75 days,2.5,01/11,30/11,16.0,20.0,400.0,500.0,350.0,500.0
Lower midland zone 4 (LM4),"Nyanza province (Siaya, Kisumu), Western province (Busia), Eastern province (Embu, Meru, Machakos, KItui), Central province (Kiambu, Muranga, Kirinyaga), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Kajiado), Taita Taveta","Maize, pigeon pea and sisal farming. Marginal cotton farming.",First season,15/03,31/03,0.3,kg/ha,60-75 days,2.5,01/05,15/06,16.0,20.0,400.0,500.0,350.0,500.0
Lower midland zone 4 (LM4),"Nyanza province (Siaya, Kisumu), Western province (Busia), Eastern province (Embu, Meru, Machakos, KItui), Central province (Kiambu, Muranga, Kirinyaga), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Kajiado), Taita Taveta","Maize, pigeon pea and sisal farming. Marginal cotton farming.",Second season,25/08,05/09,0.3,kg/ha,60-75 days,2.5,01/11,30/11,16.0,20.0,400.0,500.0,350.0,500.0
Lower Highland Zone 1 (LH1),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Embu, Meru) Central province (Except Kirinyaga), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet)",Tea and dairy farming zones. Forest reserves.,First season,28/02,15/03,0.3,kg/ha,75-90 days,3.0,01/05,30/06,16.0,20.0,400.0,500.0,350.0,500.0
Lower Highland Zone 1 (LH1),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Embu, Meru) Central province (Except Kirinyaga), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet)",Tea and dairy farming zones. Forest reserves.,Second season,01/08,15/10,0.3,kg/ha,75-90 days,3.0,15/10,31/01,16.0,20.0,400.0,500.0,350.0,500.0
Lower Highland Zone 2 (LH2),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Meru), Central province (Kiambu, Nyeri), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet, Baringo,Nakuru, Narok)","Wheat, maize and pyrethrum farming.",First season,01/03,15/03,0.3,kg/ha,75-90 days,3.0,31/05,30/06,16.0,20.0,400.0,500.0,350.0,500.0
Lower Highland Zone 2 (LH2),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Meru), Central province (Kiambu, Nyeri), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet, Baringo,Nakuru, Narok)","Wheat, maize and pyrethrum farming.",Second season,01/08,15/10,0.3,kg/ha,75-90 days,3.0,15/10,31/01,16.0,20.0,400.0,500.0,350.0,500.0
Lower Highland Zone 3 (LH3),"Eastern province (Meru), Central province (Kiambu, Nyeri, Nyandarua), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Markwet, Baringo, Laikipia, Samburu, Nakuru, Narok, Kajiado)","Wheat, maize and barley farming.",,15/03,31/03,0.3,kg/ha,75-90 days,3.0,01/06,15/07,16.0,20.0,400.0,500.0,350.0,500.0
Upper Highland Zone 2 (UH2),"Mountainous areas of Central Kenya (Meru, Central Province), Riftvalley (Nandi, Kericho,T/Nzoia, UasinGishu, W/Pokot, Keiyo/Marakwet, Baringo, Nakuru) & Mt Elgon area.",Good for pyrethrum and fair for wheat farming.,First season,15/03,31/03,0.3,kg/ha,80-115 days,4.0,01/06,31/07,16.0,20.0,400.0,500.0,350.0,500.0
Upper Highland Zone 2 (UH2),"Mountainous areas of Central Kenya (Meru, Central Province), Riftvalley (Nandi, Kericho,T/Nzoia, UasinGishu, W/Pokot, Keiyo/Marakwet, Baringo, Nakuru) & Mt Elgon area.",Good for pyrethrum and fair for wheat farming.,Second season,15/08,31/08,0.3,kg/ha,80-115 days,4.0,15/11,20/12,16.0,20.0,400.0,500.0,350.0,500.0
Upper Highland Zone 3 (UH3),"Mountaneous areas of Meru, Uasin Gishu, Nakuru & Nyeri",Wheat and barley farming.,First season,15/03,31/03,0.3,kg/ha,80-115 days,4.0,01/06,31/07,16.0,20.0,400.0,500.0,350.0,500.0
Upper Highland Zone 3 (UH3),"Mountaneous areas of Meru, Uasin Gishu, Nakuru & Nyeri",Wheat and barley farming.,Second season,15/08,31/10,0.3,kg/ha,80-115 days,4.0,15/11,28/02,16.0,20.0,400.0,500.0,350.0,500.0
Upper Highland Zone 1 (UH 1),"Mountainous areas of Central Kenya (Meru, Nyandarua, Nyeri), Rift valley (Kericho,T/Nzoia, UasinGishu, W/Pokot, Keiyo/Marakwet, Baringo, Laikipia, Nakuru) & Mt Elgon area.",Sheep and dairy farming. Climatic conditions not suitable for grain crops except oats. Forest farming on the slopes.,First season,15/03,31/03,0.3,kg/ha,80-115 days,4.0,01/06,31/07,16.0,20.0,400.0,500.0,350.0,500.0
Upper Highland Zone 1 (UH 1),"Mountainous areas of Central Kenya (Meru, Nyandarua, Nyeri), Rift valley (Kericho,T/Nzoia, UasinGishu, W/Pokot, Keiyo/Marakwet, Baringo, Laikipia, Nakuru) & Mt Elgon area.",Sheep and dairy farming. Climatic conditions not suitable for grain crops except oats. Forest farming on the slopes.,Second season,25/08,05/09,0.3,kg/ha,80-115 days,4.0,01/12,20/12,16.0,20.0,400.0,500.0,350.0,500.0
Upper midland zone 1(UM1),"Nyanza province (Kisii, Kisumu), Western province (Kakamega, Mt Elgon), Eastern province (Embu, Meru) Central province (Kiambu, Nyeri, Muranga, Nyandarua), Rift valley province (Nandi, Kericho)","Tea, coffee and maize farming.",First season,28/02,15/03,0.3,kg/ha,60-90 days,3.0,01/05,15/06,16.0,20.0,400.0,500.0,350.0,500.0
Upper midland zone 1(UM1),"Nyanza province (Kisii, Kisumu), Western province (Kakamega, Mt Elgon), Eastern province (Embu, Meru) Central province (Kiambu, Nyeri, Muranga, Nyandarua), Rift valley province (Nandi, Kericho)","Tea, coffee and maize farming.",Second season,15/10,31/10,0.3,kg/ha,60-90 days,3.0,15/12,31/01,16.0,20.0,400.0,500.0,350.0,500.0
Upper midland zone 2 (UM2),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia)",Coffee and maize farming.,First season,15/03,31/03,0.3,kg/ha,60-90 days,3.0,01/05,30/06,16.0,20.0,400.0,500.0,350.0,500.0
Upper midland zone 2 (UM2),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia)",Coffee and maize farming.,Second season,15/10,31/10,0.3,kg/ha,60-90 days,3.0,15/12,31/01,16.0,20.0,400.0,500.0,350.0,500.0
Upper midland zone 3 (UM3),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia,W/pokot,Baringo,Nakuru, Kajiado), Taita Taveta","Maize farming, rainfed and irrigated coffee farming.",First season,15/03,31/03,0.3,kg/ha,60-90 days,3.0,01/05,30/06,16.0,20.0,400.0,500.0,350.0,500.0
Upper midland zone 3 (UM3),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia,W/pokot,Baringo,Nakuru, Kajiado), Taita Taveta","Maize farming, rainfed and irrigated coffee farming.",Second season,15/10,31/10,0.3,kg/ha,60-90 days,3.0,15/12,31/01,16.0,20.0,400.0,500.0,350.0,500.0
Upper midland zone 4 (UM4),"Western province (Kakamega, Bungoma), Eastern province (Embu, Meru, Machakos, Kitui), Central province (Kiambu, Nyeri, Muranga, Kirinyaga), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Marakwet, Baringo, Nakuru, Narok, Kajiad","Maize and sunflower farming good under unimodal rainfall, but fair under bimodal. Sisal farming in upper zone under large scale.",,15/03,31/03,0.3,kg/ha,60-90 days,3.0,01/05,30/06,16.0,20.0,400.0,500.0,350.0,500.0
Lower Highland Zone 1 (LH1),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Embu, Meru) Central province (Except Kirinyaga), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet)",Tea and dairy farming zones. Forest reserves.,First season,28/02,31/03,5.5,kg/ha,90-120 days,4.0,31/05,31/07,15.0,22.0,450.0,600.0,450.0,600.0
Lower Highland Zone 1 (LH1),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Embu, Meru) Central province (Except Kirinyaga), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet)",Tea and dairy farming zones. Forest reserves.,Second season,01/10,31/10,5.5,kg/ha,90-120 days,4.0,01/01,28/02,15.0,22.0,450.0,600.0,450.0,600.0
Lower Highland Zone 2 (LH2),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Meru), Central province (Kiambu, Nyeri), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet, Baringo,Nakuru, Narok)","Wheat, maize and pyrethrum farming.",First season,01/03,15/03,5.5,kg/ha,90-120 days,4.0,01/06,15/07,15.0,22.0,450.0,600.0,450.0,600.0
Lower Highland Zone 2 (LH2),"Nyanza province (Kisii), Western province (Mt Elgon), Eastern province (Meru), Central province (Kiambu, Nyeri), Rift valley province (Nandi, Kericho,T/Nzoia, W/pokot, Keiyo/Markwet, Baringo,Nakuru, Narok)","Wheat, maize and pyrethrum farming.",Second season,01/08,15/10,5.5,kg/ha,90-120 days,4.0,01/11,15/02,15.0,22.0,450.0,600.0,450.0,600.0
Upper Highland Zone 2 (UH2),"Mountainous areas of Central Kenya (Meru, Central Province), Riftvalley (Nandi, Kericho,T/Nzoia, UasinGishu, W/Pokot, Keiyo/Marakwet, Baringo, Nakuru) & Mt Elgon area.",Good for pyrethrum and fair for wheat farming.,First season,15/03,31/03,5.5,kg/ha,90-120 days,4.0,15/06,31/07,15.0,22.0,450.0,600.0,450.0,600.0
Upper Highland Zone 2 (UH2),"Mountainous areas of Central Kenya (Meru, Central Province), Riftvalley (Nandi, Kericho,T/Nzoia, UasinGishu, W/Pokot, Keiyo/Marakwet, Baringo, Nakuru) & Mt Elgon area.",Good for pyrethrum and fair for wheat farming.,Second season,15/08,15/10,5.5,kg/ha,90-120 days,4.0,15/06,31/07,15.0,22.0,450.0,600.0,450.0,600.0
Upper Highland Zone 3 (UH3),"Mountaneous areas of Meru, Uasin Gishu, Nakuru & Nyeri",Wheat and barley farming.,First season,15/03,31/07,5.5,kg/ha,90-120 days,4.0,15/06,30/11,15.0,22.0,450.0,600.0,450.0,600.0
Upper Highland Zone 3 (UH3),"Mountaneous areas of Meru, Uasin Gishu, Nakuru & Nyeri",Wheat and barley farming.,Second season,15/08,15/10,5.5,kg/ha,90-120 days,4.0,15/06,31/07,15.0,22.0,450.0,600.0,450.0,600.0
Upper Highland Zone 1 (UH 1),"Mountainous areas of Central Kenya (Meru, Nyandarua, Nyeri), Rift valley (Kericho,T/Nzoia, UasinGishu, W/Pokot, Keiyo/Marakwet, Baringo, Laikipia, Nakuru) & Mt Elgon area.",Sheep and dairy farming. Climatic conditions not suitable for grain crops except oats. Forest farming on the slopes.,First season,15/03,31/03,5.5,kg/ha,90-120 days,4.0,15/06,31/07,15.0,22.0,450.0,600.0,450.0,600.0
Upper Highland Zone 1 (UH 1),"Mountainous areas of Central Kenya (Meru, Nyandarua, Nyeri), Rift valley (Kericho,T/Nzoia, UasinGishu, W/Pokot, Keiyo/Marakwet, Baringo, Laikipia, Nakuru) & Mt Elgon area.",Sheep and dairy farming. Climatic conditions not suitable for grain crops except oats. Forest farming on the slopes.,Second season,01/09,15/10,5.5,kg/ha,90-120 days,4.0,01/12,15/02,15.0,22.0,450.0,600.0,450.0,600.0
Upper midland zone 1(UM1),"Nyanza province (Kisii, Kisumu), Western province (Kakamega, Mt Elgon), Eastern province (Embu, Meru) Central province (Kiambu, Nyeri, Muranga, Nyandarua), Rift valley province (Nandi, Kericho)","Tea, coffee and maize farming.",First season,15/03,31/03,5.5,kg/ha,90-120 days,4.0,15/06,31/07,15.0,22.0,450.0,600.0,450.0,600.0
Upper midland zone 1(UM1),"Nyanza province (Kisii, Kisumu), Western province (Kakamega, Mt Elgon), Eastern province (Embu, Meru) Central province (Kiambu, Nyeri, Muranga, Nyandarua), Rift valley province (Nandi, Kericho)","Tea, coffee and maize farming.",Second season,01/10,15/10,5.5,kg/ha,90-120 days,4.0,01/01,15/02,15.0,22.0,450.0,600.0,450.0,600.0
Lowerland zone 2 (L2) / Inner lowland (IL2),Kwale.,"Sugarcane, cassava, rice, maize and coconut farming.",,01/01,31/12,6.5,kg/ha,2.5-3 years,36.0,01/01,31/12,24.0,28.0,500.0,1200.0,,
Lowerland zone 3 (L3),"Coast province (Kwale, Kilifi, Tana River, Lamu)","Cassava, coconut, cotton farming.",,01/01,31/12,6.5,kg/ha,2.5-3 years,36.0,01/01,31/12,24.0,28.0,500.0,1200.0,,
Lowerland zone 4 (L4),"Coast province (Kwale, Kilifi, Tana River, Lamu)",Cassava and cashew nut farming. Marginal climatic condition for cotton and coconut. Large scale sisal farming.,,01/01,31/12,6.5,kg/ha,2.5-3 years,36.0,01/01,31/12,24.0,28.0,500.0,1200.0,,
Lower midland zone 1 (LM1),"South Nyanza (Siaya), Western province (Kakamega, Busia, Bungoma).","Sugarcane farming good, maize farming fair.",,01/01,31/12,"10,000",cuttings/ha,365-540 days,18.0,01/01,31/12,25.0,29.0,1000.0,1500.0,,
Lower midland zone 2 (LM2),"Nyanza province (Siaya, Kisumu), Western province (Kakamega, Busia, Bungoma), Nandi, Narok.","Sugarcane farming marginal, maize farming.",,01/01,31/12,"10,000",cuttings/ha,365-420 days,18.0,01/01,31/12,25.0,29.0,1000.0,1500.0,,
Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,,01/01,31/12,"10,000",cuttings/ha,365-420 days,18.0,01/01,31/12,25.0,29.0,1000.0,1500.0,,
Lower midland zone 4 (LM4),"Nyanza province (Siaya, Kisumu), Western province (Busia), Eastern province (Embu, Meru, Machakos, KItui), Central province (Kiambu, Muranga, Kirinyaga), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Kajiado), Taita Taveta","Maize, pigeon pea and sisal farming. Marginal cotton farming.",,01/01,31/12,"10,000",cuttings/ha,365-420 days,18.0,01/01,31/12,25.0,29.0,1000.0,1500.0,,
Lower midland zone 5 (LM5),"Eastern province (Embu, Meru, Machakos, KItui), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Samburu, Kajiado), Taita Taveta","Millet, Cowpeas and grams growing fair. Fair sisal farming climatic condition. Livestock grazing at low density.",,01/01,31/12,"10,000",cuttings/ha,365-420 days,18.0,01/01,31/12,25.0,29.0,1000.0,1500.0,,
Lowerland zone 2 (L2) / Inner lowland (IL2),Kwale.,"Sugarcane, cassava, rice, maize and coconut farming.",,01/01,31/12,"10,000",cuttings/ha,365-420 days,18.0,01/01,31/12,25.0,29.0,1000.0,1500.0,,
Lowerland zone 3 (L3),"Coast province (Kwale, Kilifi, Tana River, Lamu)","Cassava, coconut, cotton farming.",,01/01,31/12,"10,000",cuttings/ha,365-420 days,18.0,01/01,31/12,25.0,29.0,1000.0,1500.0,,
Lowerland zone 4 (L4),"Coast province (Kwale, Kilifi, Tana River, Lamu)",Cassava and cashew nut farming. Marginal climatic condition for cotton and coconut. Large scale sisal farming.,,01/01,31/12,"10,000",cuttings/ha,365-420 days,18.0,01/01,31/12,25.0,29.0,1000.0,1500.0,,
Lowerland zone 5 (L5),"Coast province, Kitui (IL5), Lower Kitui (IL5), Lower Meru (IL5)",Cassava and cashew nut farming. Marginal climatic condition for cotton and coconut. Large scale sisal farming.,,01/01,31/12,"10,000",cuttings/ha,365-420 days,18.0,01/01,31/12,25.0,29.0,1000.0,1500.0,,
Upper midland zone 2 (UM2),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia)",Coffee and maize farming.,,01/01,31/12,"10,000",cuttings/ha,365-540 days,18.0,01/01,31/12,25.0,29.0,1000.0,1500.0,,
Upper midland zone 3 (UM3),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia,W/pokot,Baringo,Nakuru, Kajiado), Taita Taveta","Maize farming, rainfed and irrigated coffee farming.",,01/01,31/12,"10,000",cuttings/ha,365-540 days,18.0,01/01,31/12,25.0,29.0,1000.0,1500.0,,
